,features_importance
alpha38t-8,0.0
alpha38t-7,0.0
alpha38t-6,0.0
alpha38t-5,0.0
alpha38t-4,0.0
alpha38t-3,0.0
alpha38t-20,1.9152510526022366e-06
alpha38t-2,0.0
alpha38t-19,1.5223957959907184e-06
alpha38t-18,0.0
alpha38t-17,5.134288840101822e-06
alpha38t-16,0.0
alpha38t-15,0.0
alpha38t-14,0.0
alpha38t-13,0.0
alpha38t-12,0.0
alpha38t-11,0.0
alpha38t-10,0.0
alpha38t-1,0.0
alpha38t,0.0
alpha37t-9,0.0
alpha37t-8,0.0
alpha37t-7,0.0
alpha37t-6,3.7560070838481155e-06
alpha37t-5,2.965132387018162e-06
alpha37t-4,2.186558827319502e-05
alpha37t-3,0.0
alpha37t-20,0.0
alpha37t-2,0.0
alpha37t-19,0.0
alpha37t-18,2.202547538934687e-06
alpha37t-17,1.2451898154526617e-05
alpha37t-16,0.0
alpha37t-15,0.0001516539352842804
alpha37t-14,0.0011275380121869068
alpha37t-13,0.0
alpha37t-12,0.0
alpha37t-11,0.0
alpha37t-10,0.0
alpha37t-1,1.342768656363741e-05
alpha37t,0.0
alpha35t-9,0.0
alpha35t-8,0.0
alpha35t-7,0.0
alpha35t-6,1.8193166677775274e-06
alpha35t-5,0.0
alpha35t-4,2.904686550039718e-05
alpha35t-3,0.0
alpha35t-20,0.0
alpha35t-2,0.0
alpha35t-19,0.0
alpha35t-18,0.0
alpha35t-17,0.0
alpha35t-16,1.5150716785484113e-06
alpha35t-15,0.00015530779142382034
alpha35t-14,0.0
alpha35t-13,0.0
alpha35t-12,0.0
alpha35t-11,0.0
alpha35t-10,0.0
alpha35t-1,0.0
alpha35t,4.2219133845782334e-06
alpha34t-9,0.0
alpha34t-8,1.830166916005962e-05
alpha34t-7,0.0
alpha34t-6,0.0
alpha34t-5,0.0
alpha34t-4,0.0
alpha34t-3,0.0
alpha34t-20,0.0
alpha34t-2,0.0
alpha34t-19,0.0
alpha34t-18,0.0
alpha34t-17,9.443746211206491e-07
alpha34t-16,0.0
alpha34t-15,0.0
alpha34t-14,0.0
alpha34t-13,0.0
alpha34t-12,0.0
alpha34t-11,0.0
alpha34t-10,0.0
alpha34t-1,0.0
alpha34t,0.0
alpha31t-9,0.0
alpha31t-8,0.0
alpha31t-7,0.0
alpha31t-6,0.0
alpha31t-5,0.0
alpha31t-4,0.0
alpha31t-3,0.0
alpha31t-20,0.0
alpha31t-2,0.0
alpha31t-19,0.0
alpha31t-18,0.0
alpha31t-17,0.0
alpha31t-16,0.0
alpha31t-15,0.0
alpha31t-14,0.0
alpha31t-13,0.0
alpha31t-12,0.0
alpha31t-11,0.0
alpha31t-10,0.0
alpha31t-1,0.0
alpha31t,0.0
alpha2t-9,4.234270556939725e-06
alpha2t-8,1.1016358575535271e-05
alpha2t-7,0.0
alpha2t-6,0.0
alpha2t-5,1.5375378937557736e-06
alpha2t-4,3.0452015630307756e-06
alpha2t-3,3.7578438891181046e-05
alpha2t-20,0.0
alpha2t-2,0.0
alpha2t-19,0.0
alpha2t-18,3.0787319157786665e-06
alpha2t-17,0.0
alpha2t-16,1.2406163522838507e-06
alpha2t-15,0.0
alpha2t-14,0.0
alpha2t-13,0.0
alpha2t-12,0.0
alpha2t-11,0.0
alpha2t-10,1.1889562113911943e-05
alpha2t-1,3.312649384272443e-06
alpha2t,0.0
alpha29t-9,0.0
alpha29t-8,0.0
alpha29t-7,0.0
alpha29t-6,0.0
alpha29t-5,0.0
alpha29t-4,0.0
alpha29t-3,0.0
alpha29t-20,4.622214571427239e-06
alpha29t-2,0.0
alpha29t-19,0.0
alpha29t-18,0.0
alpha29t-17,6.708891991762802e-06
alpha29t-16,8.914651553832289e-07
alpha29t-15,0.0
alpha29t-14,0.0
alpha29t-13,0.0
alpha29t-12,0.0
