,features_importance
alpha49t-9,0.0
alpha49t-8,0.0
alpha49t-7,0.0
alpha49t-6,0.0
alpha49t-5,0.0
alpha49t-4,0.0
alpha49t-3,0.0
alpha49t-20,0.0
alpha49t-2,0.0
alpha49t-19,0.0
alpha49t-18,0.0
alpha49t-17,0.0
alpha49t-16,0.0
alpha49t-15,0.0
alpha49t-14,0.0
alpha49t-13,0.0
alpha49t-12,0.0
alpha49t-11,0.0
alpha49t-10,0.0
alpha49t-1,0.0
alpha49t,0.0
alpha48t-9,0.0
alpha48t-8,0.0
alpha48t-7,0.0
alpha48t-6,0.0
alpha48t-5,0.0
alpha48t-4,0.0
alpha48t-3,0.0
alpha48t-20,0.0
alpha48t-2,0.0
alpha48t-19,0.0
alpha48t-18,0.0
alpha48t-17,0.0
alpha48t-16,0.0
alpha48t-15,0.0
alpha48t-14,0.0
alpha48t-13,0.0
alpha48t-12,0.0
alpha48t-11,0.0
alpha48t-10,0.0
alpha48t-1,0.0
alpha48t,0.0006650427
alpha47t-9,0.0
alpha47t-8,0.0
alpha47t-7,0.0
alpha47t-6,0.0
alpha47t-5,0.0
alpha47t-4,0.00048656773
alpha47t-3,0.0
alpha47t-20,0.0
alpha47t-2,0.0
alpha47t-19,0.0
alpha47t-18,0.0
alpha47t-17,0.0
alpha47t-16,0.0
alpha47t-15,0.0
alpha47t-14,0.0
alpha47t-13,0.0
alpha47t-12,0.0
alpha47t-11,0.0
alpha47t-10,0.0
alpha47t-1,0.0
alpha47t,0.0
alpha46t-9,0.0
alpha46t-8,0.0
alpha46t-7,0.0
alpha46t-6,0.0
alpha46t-5,0.0
alpha46t-4,0.0
alpha46t-3,0.0
alpha46t-20,0.0
alpha46t-2,0.0
alpha46t-19,0.0
alpha46t-18,0.0
alpha46t-17,0.0
alpha46t-16,0.0
alpha46t-15,0.0
alpha46t-14,0.0008265817
alpha46t-13,0.0
alpha46t-12,0.0
alpha46t-11,0.0
alpha46t-10,0.0
alpha46t-1,0.0
alpha46t,0.0022834262
alpha44t-9,0.0
alpha44t-8,0.0
alpha44t-7,0.0
alpha44t-6,0.0005057674
alpha44t-5,0.0
alpha44t-4,0.0
alpha44t-3,0.0
alpha44t-20,0.0
alpha44t-2,0.0
alpha44t-19,0.0
alpha44t-18,0.0
alpha44t-17,0.0
alpha44t-16,0.0
alpha44t-15,0.0
alpha44t-14,0.0
alpha44t-13,0.0
alpha44t-12,0.0
alpha44t-11,0.0
alpha44t-10,0.0
alpha44t-1,0.0
alpha44t,0.0
alpha43t-9,0.0
alpha43t-8,0.0
alpha43t-7,0.0
alpha43t-6,0.0
alpha43t-5,0.0
alpha43t-4,0.0
alpha43t-3,0.0
alpha43t-20,0.0024692174
alpha43t-2,0.00082038756
alpha43t-19,0.0
alpha43t-18,0.0
alpha43t-17,0.0
alpha43t-16,0.0
alpha43t-15,0.0
alpha43t-14,0.0
alpha43t-13,0.0
alpha43t-12,0.0
alpha43t-11,0.0
alpha43t-10,0.0015905872
alpha43t-1,0.0
alpha43t,0.0033765282
alpha42t-9,0.0
alpha42t-8,0.0
alpha42t-7,0.0
alpha42t-6,0.0
alpha42t-5,0.0
alpha42t-4,0.0
alpha42t-3,0.0
alpha42t-20,0.0
alpha42t-2,0.0
alpha42t-19,0.0
alpha42t-18,0.0
alpha42t-17,0.0
alpha42t-16,0.0
alpha42t-15,0.0
alpha42t-14,0.0
alpha42t-13,0.0
alpha42t-12,0.0
alpha42t-11,0.0
alpha42t-10,0.0
alpha42t-1,0.0
alpha42t,5.1043386e-05
alpha40t-9,0.00064390077
alpha40t-8,0.0
alpha40t-7,0.0
alpha40t-6,0.0
alpha40t-5,0.0
alpha40t-4,0.0
alpha40t-3,0.0
alpha40t-20,0.0
alpha40t-2,0.0
alpha40t-19,0.0
alpha40t-18,0.0
alpha40t-17,0.0
alpha40t-16,0.0
alpha40t-15,0.0
alpha40t-14,0.0
alpha40t-13,0.0
alpha40t-12,0.0
alpha40t-11,0.0
alpha40t-10,0.0
alpha40t-1,0.0
alpha40t,0.0
alpha3t-9,0.0029924589
alpha3t-8,0.0
alpha3t-7,0.0
alpha3t-6,0.0
alpha3t-5,0.0
alpha3t-4,0.0021687476
alpha3t-3,0.0
alpha3t-20,0.0
alpha3t-2,0.0
alpha3t-19,0.0
alpha3t-18,0.0
alpha3t-17,0.0
alpha3t-16,0.0
alpha3t-15,0.0
alpha3t-14,0.0
alpha3t-13,0.0
alpha3t-12,0.0
alpha3t-11,0.0
alpha3t-10,0.0
alpha3t-1,0.0
alpha3t,0.00019812874
alpha38t-9,0.0
alpha38t-8,0.0
alpha38t-7,0.0
alpha38t-6,0.0
alpha38t-5,0.0
alpha38t-4,0.0
alpha38t-3,0.0
alpha38t-20,0.0
alpha38t-2,0.005312426
alpha38t-19,0.0
alpha38t-18,0.0
alpha38t-17,0.0
alpha38t-16,0.0
alpha38t-15,0.0
alpha38t-14,0.0
alpha38t-13,0.0
alpha38t-12,0.0
alpha38t-11,0.0012638709
alpha38t-10,0.0
alpha38t-1,0.0
alpha38t,0.00029405256
alpha37t-9,0.0
alpha37t-8,0.0013887625
alpha37t-7,0.0
alpha37t-6,0.0
alpha37t-5,0.0
alpha37t-4,0.004200126
alpha37t-3,0.0
alpha37t-20,0.0
alpha37t-2,0.00085534103
alpha37t-19,0.0034824735
alpha37t-18,0.0
alpha37t-17,0.0
alpha37t-16,0.0
alpha37t-15,0.0
alpha37t-14,0.0
alpha37t-13,0.0
alpha37t-12,0.0
alpha37t-11,0.0
alpha37t-10,0.0
alpha37t-1,0.0
alpha37t,0.0
alpha35t-9,0.0
alpha35t-8,0.0
alpha35t-7,0.0
alpha35t-6,0.0
alpha35t-5,0.0
alpha35t-4,0.0
alpha35t-3,0.0
alpha35t-20,0.0
alpha35t-2,0.0
alpha35t-19,0.0
alpha35t-18,0.0
alpha35t-17,0.0005635324
alpha35t-16,0.0
alpha35t-15,0.0
alpha35t-14,0.0
alpha35t-13,0.0
alpha35t-12,0.0
alpha35t-11,0.0
alpha35t-10,0.0
alpha35t-1,0.0
alpha35t,0.0
alpha34t-9,0.0
alpha34t-8,0.0
alpha34t-7,0.0
alpha34t-6,0.0
alpha34t-5,0.0
alpha34t-4,0.0
alpha34t-3,0.0
alpha34t-20,0.0
alpha34t-2,0.0
alpha34t-19,0.0
alpha34t-18,0.0
alpha34t-17,0.0
alpha34t-16,0.0
alpha34t-15,0.0
alpha34t-14,0.0
alpha34t-13,0.0
alpha34t-12,0.0
alpha34t-11,0.0
alpha34t-10,0.0
alpha34t-1,0.0
alpha34t,0.0
alpha31t-9,0.0
alpha31t-8,0.0
alpha31t-7,0.0
alpha31t-6,0.0
alpha31t-5,0.0
alpha31t-4,0.0
alpha31t-3,0.0
alpha31t-20,0.0
alpha31t-2,0.0
alpha31t-19,0.0
alpha31t-18,0.0
alpha31t-17,0.0
alpha31t-16,0.0
alpha31t-15,0.0
alpha31t-14,0.0
alpha31t-13,0.0
alpha31t-12,0.0
alpha31t-11,0.0
alpha31t-10,0.0
alpha31t-1,0.0
alpha31t,0.0
alpha2t-9,0.0
alpha2t-8,0.000107866406
alpha2t-7,0.0016648681
alpha2t-6,0.0
alpha2t-5,0.0
alpha2t-4,0.0
alpha2t-3,0.0017613763
alpha2t-20,9.441306e-05
alpha2t-2,0.0025721805
alpha2t-19,0.0
alpha2t-18,0.0
alpha2t-17,0.0
alpha2t-16,0.0
alpha2t-15,0.0
alpha2t-14,0.0
alpha2t-13,0.0
alpha2t-12,0.00018598847
alpha2t-11,0.0
alpha2t-10,0.0
alpha2t-1,0.0
alpha2t,0.000479105
alpha29t-9,0.0
alpha29t-8,0.0023707612
alpha29t-7,0.0
alpha29t-6,0.0
alpha29t-5,0.0025366338
