,features_importance
alpha58t-3,1.377307900199282e-07
alpha58t-20,0.0
alpha58t-2,0.0
alpha58t-19,4.781516827136383e-05
alpha58t-18,1.494488525056786e-06
alpha58t-17,0.0
alpha58t-16,5.718420398621184e-07
alpha58t-15,0.0
alpha58t-14,4.780536634872525e-07
alpha58t-13,1.3865552694899456e-07
alpha58t-12,1.013667279307226e-07
alpha58t-11,0.0
alpha58t-10,2.3522033721840637e-05
alpha58t-1,0.0
alpha58t,1.9056767334680826e-07
alpha57t-9,1.6955544865114334e-07
alpha57t-8,1.2830340564229711e-06
alpha57t-7,0.0
alpha57t-6,1.3576437003921592e-06
alpha57t-5,1.6351087783149121e-06
alpha57t-4,1.2749399804272259e-06
alpha57t-3,0.0
alpha57t-20,1.6190694749819116e-06
alpha57t-2,0.0
alpha57t-19,1.6224797747467417e-07
alpha57t-18,0.0
alpha57t-17,0.0
alpha57t-16,6.759240687232493e-07
alpha57t-15,0.00036944627209759456
alpha57t-14,8.176287011864018e-05
alpha57t-13,0.0
alpha57t-12,1.0683124169452538e-06
alpha57t-11,0.0
alpha57t-10,0.0
alpha57t-1,0.0
alpha57t,4.334176485161447e-05
alpha53t-9,0.0
alpha53t-8,0.0
alpha53t-7,0.0
alpha53t-6,1.948939357397845e-07
alpha53t-5,2.3480553685741943e-07
alpha53t-4,6.520975963316345e-06
alpha53t-3,0.0
alpha53t-20,1.6223911472476392e-07
alpha53t-2,0.0
alpha53t-19,0.0
alpha53t-18,2.6084308800869085e-07
alpha53t-17,1.9057365711622869e-06
alpha53t-16,0.0
alpha53t-15,0.0
alpha53t-14,0.0
alpha53t-13,4.6823686716062696e-06
alpha53t-12,0.0
alpha53t-11,0.0
alpha53t-10,0.0
alpha53t-1,0.0
alpha53t,0.0
alpha52t-9,2.1372971833344784e-06
alpha52t-8,2.5720680990379745e-06
alpha52t-7,3.4549922900945876e-05
alpha52t-6,2.6737579545320835e-06
alpha52t-5,6.715881992631193e-05
alpha52t-4,0.0
alpha52t-3,0.0
alpha52t-20,0.0
alpha52t-2,2.7423386534920096e-06
alpha52t-19,0.0
alpha52t-18,7.706034801982956e-06
alpha52t-17,2.7328508582866884e-07
alpha52t-16,1.0254148696665545e-05
alpha52t-15,4.622022617351691e-06
alpha52t-14,3.185544936458501e-05
alpha52t-13,0.0
alpha52t-12,0.0
alpha52t-11,1.931888591669792e-06
alpha52t-10,1.4658674190195989e-07
alpha52t-1,3.600782655569757e-07
alpha52t,4.634238582835087e-06
alpha4t-9,6.2788571480322e-07
alpha4t-8,1.0879741439071802e-06
alpha4t-7,0.0
alpha4t-6,1.711445520370724e-05
alpha4t-5,1.6119359080399518e-07
alpha4t-4,0.0
alpha4t-3,1.0548187538759148e-05
alpha4t-20,2.191901117851799e-05
alpha4t-2,0.00022009413408209249
alpha4t-19,0.0
alpha4t-18,2.300026455159732e-06
alpha4t-17,0.0
alpha4t-16,5.451364295823182e-05
alpha4t-15,0.00023434826662336548
alpha4t-14,0.0
alpha4t-13,0.0
alpha4t-12,3.7561453403407163e-07
alpha4t-11,4.7660951027563966e-05
alpha4t-10,2.1401303868728577e-07
alpha4t-1,2.438697911214921e-06
alpha4t,0.0
alpha49t-9,0.0
alpha49t-8,0.0
alpha49t-7,0.00012893127647384793
alpha49t-6,2.8362115308908976e-06
alpha49t-5,0.0
alpha49t-4,0.0
alpha49t-3,3.9115360673465376e-07
alpha49t-20,0.0006170730853232167
alpha49t-2,0.0
alpha49t-19,6.682043367054691e-06
alpha49t-18,0.0
alpha49t-17,1.1841493071076302e-05
alpha49t-16,3.49386526041217e-05
alpha49t-15,1.5415359422520576e-05
alpha49t-14,4.884231652740335e-07
alpha49t-13,1.5302631788354896e-07
alpha49t-12,6.070587112560243e-07
alpha49t-11,0.0
alpha49t-10,0.0
alpha49t-1,3.9944225054951045e-07
alpha49t,5.375994555374248e-06
alpha48t-9,5.5145686847737206e-06
alpha48t-8,5.056669600789232e-06
alpha48t-7,0.0
alpha48t-6,0.0
alpha48t-5,0.0
alpha48t-4,1.958137475208626e-06
alpha48t-3,7.134776280144602e-06
alpha48t-20,0.0
alpha48t-2,7.591446822777805e-06
alpha48t-19,0.0
alpha48t-18,7.01559067091853e-07
alpha48t-17,0.0
alpha48t-16,2.091226420332326e-06
alpha48t-15,9.239479767076963e-06
alpha48t-14,2.912039911616632e-06
alpha48t-13,2.374210019390858e-05
alpha48t-12,2.604253100088237e-05
alpha48t-11,0.0
alpha48t-10,3.9746704997171575e-06
alpha48t-1,0.0
alpha48t,3.475717703975095e-06
alpha47t-9,9.006000712865222e-07
alpha47t-8,0.0
alpha47t-7,0.0
alpha47t-6,2.1238978525368007e-07
alpha47t-5,1.865856473077408e-06
alpha47t-4,1.563570955477453e-06
alpha47t-3,0.0
alpha47t-20,9.674711772942931e-07
alpha47t-2,0.0
alpha47t-19,5.321662223578682e-07
alpha47t-18,1.853626655325002e-06
alpha47t-17,0.0
alpha47t-16,5.52544047810882e-06
alpha47t-15,0.0
alpha47t-14,1.1631872927126525e-07
alpha47t-13,0.0
alpha47t-12,2.596393046092118e-06
alpha47t-11,2.1037171455931767e-05
alpha47t-10,0.0
alpha47t-1,1.542615409060778e-05
alpha47t,4.063561663446919e-06
alpha46t-9,4.412628126030714e-05
alpha46t-8,5.979255102115711e-06
alpha46t-7,0.0
alpha46t-6,1.9374268333243172e-07
alpha46t-5,2.257884185638566e-05
alpha46t-4,0.0011849380360597994
alpha46t-3,0.0
alpha46t-20,5.209451390192282e-07
alpha46t-2,2.07305593765398e-06
alpha46t-19,0.0
alpha46t-18,7.61770239146183e-07
alpha46t-17,5.177152678516922e-07
alpha46t-16,2.7371196292232097e-06
alpha46t-15,1.6183139134187076e-07
alpha46t-14,0.0
alpha46t-13,1.1977342823803638e-06
alpha46t-12,5.85168025193678e-07
alpha46t-11,1.9537511138432703e-07
alpha46t-10,3.1281669819872696e-07
alpha46t-1,0.003806974116599192
alpha46t,0.000558171114155327
alpha44t-9,0.0
alpha44t-8,0.0
alpha44t-7,0.0
alpha44t-6,0.0
alpha44t-5,0.0
alpha44t-4,0.0
alpha44t-3,0.0
alpha44t-20,3.61562123006057e-05
