,features_importance
alpha5t-4,5.884892876372003e-06
alpha5t-3,5.348209568501007e-05
alpha5t-20,1.7698969900129563e-06
alpha5t-2,9.412848143459353e-06
alpha5t-19,5.771683718772202e-05
alpha5t-18,3.108388807664047e-05
alpha5t-17,1.211445677311542e-06
alpha5t-16,2.882672317165737e-05
alpha5t-15,1.0681218265929698e-05
alpha5t-14,2.795532967474514e-07
alpha5t-13,1.7242095094788423e-05
alpha5t-12,2.461873176826976e-06
alpha5t-11,7.4773226095474346e-06
alpha5t-10,0.0
alpha5t-1,1.2617845541902387e-05
alpha5t,1.331479881960524e-06
alpha59t-9,2.0291331771149705e-06
alpha59t-8,7.445008646826325e-05
alpha59t-7,0.00021084266332263292
alpha59t-6,6.61046202936502e-08
alpha59t-5,2.9512991266646532e-06
alpha59t-4,2.9707416600674777e-06
alpha59t-3,7.508282942327245e-06
alpha59t-20,6.874642297077375e-06
alpha59t-2,1.6971650251419624e-06
alpha59t-19,1.5072333191456405e-06
alpha59t-18,2.8853973907873895e-06
alpha59t-17,2.925531333473294e-07
alpha59t-16,2.181043523410393e-05
alpha59t-15,7.987867294152642e-07
alpha59t-14,1.6968546244777627e-07
alpha59t-13,0.0
alpha59t-12,0.0
alpha59t-11,3.299937599898863e-05
alpha59t-10,1.31748627305435e-07
alpha59t-1,2.7084023283899386e-06
alpha59t,2.1453472902390575e-06
alpha58t-9,8.157384667834705e-07
alpha58t-8,1.5343825486584472e-05
alpha58t-7,2.1058406394965493e-06
alpha58t-6,1.9455799227286498e-06
alpha58t-5,1.9425740947056983e-05
alpha58t-4,3.7152863615727766e-06
alpha58t-3,1.1000881116326295e-06
alpha58t-20,8.241765386735275e-07
alpha58t-2,2.9656179429453994e-06
alpha58t-19,0.0
alpha58t-18,8.54373712095772e-07
alpha58t-17,1.420705581629655e-06
alpha58t-16,9.568708659234984e-08
alpha58t-15,1.9522452191305547e-07
alpha58t-14,8.509783040262979e-06
alpha58t-13,0.0
alpha58t-12,1.932979711659026e-06
alpha58t-11,9.134420907435968e-07
alpha58t-10,0.0
alpha58t-1,0.0
alpha58t,3.844620817953536e-06
alpha57t-9,1.285065101867437e-05
alpha57t-8,3.936322624551254e-05
alpha57t-7,2.70631538929116e-06
alpha57t-6,2.670127357769089e-07
alpha57t-5,1.0950317040682897e-05
alpha57t-4,2.933463968339032e-06
alpha57t-3,2.7411889124420327e-06
alpha57t-20,0.0
alpha57t-2,4.047899105002722e-06
alpha57t-19,2.9612857273519656e-05
alpha57t-18,6.914685148814715e-06
alpha57t-17,4.939214453512752e-07
alpha57t-16,0.0
alpha57t-15,1.6922777994278407e-06
alpha57t-14,2.0910762891784818e-07
alpha57t-13,1.252131131424833e-06
alpha57t-12,2.3982256180779996e-06
alpha57t-11,0.0
alpha57t-10,1.968250579784579e-05
alpha57t-1,1.571920490023437e-05
alpha57t,1.4081878058218702e-05
alpha53t-9,6.03502136391521e-05
alpha53t-8,8.719082403631145e-06
alpha53t-7,1.689753622449874e-06
alpha53t-6,7.480827164667002e-07
alpha53t-5,0.0
alpha53t-4,3.650680685921649e-05
alpha53t-3,5.1846227412850823e-05
alpha53t-20,4.686082473768227e-07
alpha53t-2,4.7989730181693434e-05
alpha53t-19,4.881397327720123e-05
alpha53t-18,0.0
alpha53t-17,1.4969818849061892e-07
alpha53t-16,0.0
alpha53t-15,4.12062124749578e-05
alpha53t-14,7.012237945057753e-06
alpha53t-13,5.041061967026943e-08
alpha53t-12,3.1408653111160917e-06
alpha53t-11,0.0
alpha53t-10,2.796672818626865e-06
alpha53t-1,8.04871290710744e-05
alpha53t,1.4389254012191495e-06
alpha52t-9,1.6201272821420826e-06
alpha52t-8,0.0
alpha52t-7,6.860487264412387e-05
alpha52t-6,0.0
alpha52t-5,1.2555723510350678e-05
alpha52t-4,7.178486894965835e-06
alpha52t-3,3.58853630596101e-05
alpha52t-20,6.093978558859259e-07
alpha52t-2,4.5460285538533585e-06
alpha52t-19,6.85128365005694e-06
alpha52t-18,6.979949496399556e-05
alpha52t-17,7.289307318745714e-06
alpha52t-16,3.8760644431824745e-05
alpha52t-15,1.3856618055073925e-07
alpha52t-14,0.0
alpha52t-13,7.52811418582201e-06
alpha52t-12,4.597635448000222e-07
alpha52t-11,6.583278172571063e-05
alpha52t-10,1.0087975377439772e-06
alpha52t-1,3.0444797933150013e-05
alpha52t,0.0
alpha4t-9,1.162788830358825e-07
alpha4t-8,0.0
alpha4t-7,1.2164608414425208e-06
alpha4t-6,2.5341217958123585e-05
alpha4t-5,0.0
alpha4t-4,1.965206080252533e-06
alpha4t-3,5.581133105868547e-05
alpha4t-20,8.244571032118815e-06
alpha4t-2,2.3096775584817582e-07
alpha4t-19,6.785954411592636e-05
alpha4t-18,0.0
alpha4t-17,0.0
alpha4t-16,2.4337641471906057e-06
alpha4t-15,4.151968513126109e-06
alpha4t-14,0.0
alpha4t-13,0.00016177724148069795
alpha4t-12,0.00020806815422787147
alpha4t-11,9.116622529421285e-07
alpha4t-10,6.955949921169298e-07
alpha4t-1,6.479466859604305e-05
alpha4t,7.604249977856108e-06
alpha49t-9,9.05202287305204e-07
alpha49t-8,2.2773598557616408e-06
alpha49t-7,2.7969335051498863e-07
alpha49t-6,2.3093800222787896e-05
alpha49t-5,0.0
alpha49t-4,3.23541554690255e-06
alpha49t-3,6.252297082253564e-07
alpha49t-20,1.313739360646956e-06
alpha49t-2,6.487895628732886e-07
alpha49t-19,0.0
alpha49t-18,1.4153635639291788e-07
alpha49t-17,0.0
alpha49t-16,0.0002192345814604958
alpha49t-15,6.14558681987702e-08
alpha49t-14,2.249573723244005e-06
alpha49t-13,0.0
